Moisture_value,PH,Temperature,Class
340,4.67,14.8,0
889,6.53,24.4,1
861,6.05,24.4,1
798,6.2,24.4,1
744,6.46,24.3,1
742,6.62,24.4,1
794,6.48,24.4,1
781,6.74,24.4,1
693,6.21,24.4,1
693,6.5,24.4,1
683,6.66,24.4,1
687,6.52,18.3,2
710,6.07,19.5,1
621,6.64,18.7,2
615,5.69,22.7,1
598,5.11,22.9,1
580,6.46,22.9,1
606,6.88,22.9,1
626,5.01,22.9,1
629,6.48,22.9,1
334,6.52,22.9,1
337,6.53,22.9,1
328,4.7,14.85,0
322,6.58,22.9,1
354,6.56,22.8,1
354,6.51,22.8,1
349,6.4,22.8,1
356,5.41,22.8,1
27,4.8,14.8,0
30,4.07,14.8,0
32,4.9,14.8,0
33,4.88,14.8,0
43,4.48,14.86,0
39,4.84,14.98,0
40,4.98,14.87,0
75,4.99,14.89,0
600,6.63,22.8,1
600,6.33,22.8,1
700,6.74,22.8,1
556,6.38,22.8,1
651,5.8,22.8,1
85,6.27,22.8,1
600,6.98,22.8,1
850,6,22.8,1
685,6.12,22.8,1
560,5.8,22.8,1
1024,5.97,22.8,1
1024,6.12,22.8,1
1024,6.26,22.8,1
1024,6.46,22.8,1
1024,5.5,22.8,1
1024,6.8,22.8,1
1024,5.7,22.8,1
1024,5.01,22.8,1
1024,6.18,22.8,1
1024,6.22,22.9,1
1024,6.27,22.9,1
1024,6.56,22.9,1
1024,6.02,22.9,1
1024,5.7,22.8,1
1024,4.8,22.9,1
1024,6.45,22.9,1
1024,6.27,22.8,1
1024,6.59,22.8,1
1024,6.5,22.8,1
1024,5.97,22.8,1
1024,6.27,22.8,1
1024,6.71,22.8,1
1024,5.7,22.8,1
1024,5.88,22.8,1
1024,6.24,22.8,1
1024,6.57,22.8,1
1024,6.58,22.8,1
1024,6.15,22.8,1
1024,6.35,22.8,1
1024,6.48,22.9,1
1024,6.08,22.9,1
1024,6.15,22.9,1
1024,6.32,22.9,1
1024,6.47,22.8,1
1024,5,22.9,1
1024,6.62,22.9,1
1024,6.42,22.9,1
1024,6.46,22.9,1
1024,5,22.9,1
1024,5.4,22.9,1
1024,6.55,22.9,1
1024,6.87,22.9,1
1024,6.22,22.8,1
1024,6.51,22.9,1
1024,6.6,22.8,1
1024,5.9,22.8,1
1024,6.37,22.9,1
1024,5.7,22.8,1
1024,6.13,22.9,1
1024,6.89,22.8,1
1024,6.4,22.8,1
1024,6.17,22.8,1
1024,6.57,22.9,1
1024,6.48,22.8,1
1024,6.29,22.9,1
1024,5.7,22.8,1
1024,6.33,22.8,1
1024,6.49,22.8,1
1024,6.34,22.8,1
1024,6.25,22.8,1
1024,6.39,22.8,1
1024,6.4,22.8,1
1024,6.41,22.8,1
1024,6.4,22.8,1
1024,5.4,22.8,1
1024,6.3,22.8,1
1024,6.43,22.8,1
1024,6.1,22.8,1
1024,6.5,22.8,1
1024,6.1,22.8,1
1024,6.73,22.8,1
1024,6.7,22.8,1
1024,5.1,22.8,1
1024,6.2,22.8,1
1024,6.2,22.8,1
1024,5.3,22.8,1
1024,6.5,22.8,1
1024,5.67,22.8,1
1024,4.9,22.8,1
1024,5.93,22.7,1
1024,6.2,22.7,1
1024,6.3,22.7,1
1024,6.2,22.7,1
1024,6.2,22.7,1
1024,6.67,22.7,1
1024,6.37,22.7,1
1024,6.4,22.7,1
1024,5.4,22.7,1
588,6.3,22.7,1
581,6.57,22.7,1
560,6.37,22.7,1
513,6.4,22.7,1
506,6.27,22.7,1
514,6.67,22.7,1
512,6.4,22.7,1
505,6.5,22.7,1
495,6.3,22.7,1
495,6.07,22.7,1
490,5.6,22.7,1
488,4.6,22.7,1
484,6.33,22.7,1
480,5.2,22.7,1
478,6.2,22.7,1
475,6.8,22.7,1
472,6.37,22.7,1
470,6.2,22.7,1
469,6.7,22.7,1
468,6.3,22.7,1
465,6.23,22.7,1
465,6.43,22.7,1
462,6.63,22.7,1
461,6.13,22.7,1
460,6.53,22.7,1
459,6.27,22.7,1
459,6.3,22.7,1
457,5.2,22.7,1
457,6.5,22.7,1
456,5.93,22.7,1
454,6.03,22.7,1
561,6.27,22.7,1
768,6.5,22.7,1
760,4.7,22.7,1
756,6.34,22.7,1
745,6.9,22.7,1
741,5.8,22.7,1
740,6.29,22.7,1
739,6.34,22.7,1
738,5.8,22.7,1
736,6.51,22.7,1
1024,6.76,22.7,1
1024,6.56,22.7,1
1024,6.59,22.7,1
1024,6.49,22.7,1
592,6.75,22.7,1
506,6.51,22.7,1
512,6.61,22.7,1
514,6.53,22.7,1
517,6.11,22.7,1
519,6.85,22.7,1
521,5.94,22.7,1
523,6.22,22.6,1
525,5.2,22.6,1
526,6.65,22.7,1
528,6.67,22.7,1
529,6.65,22.6,1
532,6.77,22.6,1
532,5.5,22.7,1
533,6.48,22.6,1
533,6.57,22.6,1
534,6.37,22.6,1
534,5.5,22.6,1
535,6.91,22.6,1
535,6.68,22.6,1
536,6.56,22.6,1
537,6.33,22.6,1
538,6.59,22.6,1
538,6.44,22.6,1
538,6.64,22.6,1
538,5.77,22.6,1
538,6.54,22.6,1
538,5.6,22.6,1
538,6.66,22.6,1
538,6.16,22.6,1
538,6.32,22.6,1
538,6.42,22.6,1
538,6.67,22.6,1
541,6.73,22.6,1
540,6.37,22.6,1
540,6.68,22.6,1
540,6.64,22.6,1
541,6.38,22.6,1
541,5.5,22.6,1
541,5.3,22.6,1
541,6.45,22.6,1
541,6.22,22.6,1
541,6.19,22.7,1
541,5.1,22.7,1
540,6.36,22.6,1
540,6.39,22.6,1
686,6.6,22.7,1
685,6.62,22.6,1
684,5.5,22.6,1
684,6.53,22.6,1
682,6.26,22.6,1
682,6.32,22.6,1
682,5.87,22.6,1
682,6.27,22.6,1
682,6.57,22.6,1
682,6.53,22.6,1
682,6.47,22.6,1
681,6.56,22.6,1
682,6.61,22.6,1
682,6.57,22.6,1
682,5.96,22.6,1
681,6.35,22.6,1
680,6.75,22.6,1
680,5.4,22.6,1
681,6.16,22.6,1
681,5.5,22.6,1
681,6.57,22.6,1
681,6.75,22.6,1
681,6.29,22.6,1
681,6.56,22.6,1
687,6.51,22.6,1
733,5.5,22.6,1
732,6.59,22.6,1
732,5.98,22.6,1
732,6.44,22.6,1
732,6.68,22.6,1
734,6.31,22.6,1
734,6.87,22.6,1
734,5.6,22.6,1
734,4.8,22.6,1
735,6.36,22.6,1
735,6.81,22.6,1
735,6.43,22.6,1
735,6.32,22.6,1
735,6.47,22.6,1
736,6.17,22.6,1
736,4.5,22.6,1
948,6.34,22.5,1
924,5.91,22.6,1
922,6.69,22.6,1
924,6.81,22.5,1
925,6.25,22.5,1
925,6.66,22.6,1
925,6.17,22.5,1
926,6.58,22.6,1
926,5.8,22.5,1
926,6.1,22.6,1
926,6.2,22.6,1
926,6,22.6,1
926,6,22.6,1
926,6.2,22.5,1
927,5.9,22.5,1
927,6.2,22.6,1
927,6.3,22.6,1
927,6.3,22.5,1
928,6.2,22.6,1
928,6.2,22.5,1
928,6.1,22.5,1
928,5.9,22.5,1
929,6.3,22.5,1
931,6.2,22.5,1
931,6.2,22.5,1
932,6.2,22.5,1
932,5.7,22.5,1
932,6.5,22.5,1
932,6.1,22.5,1
932,6.5,22.5,1
932,5.8,22.5,1
932,5.9,22.5,1
932,5.9,22.5,1
931,6.3,22.5,1
932,6.3,22.5,1
932,6.1,22.6,1
932,6,22.5,1
932,6,22.5,1
932,6.4,22.5,1
932,6.2,22.5,1
932,6.1,22.5,1
932,6.1,22.5,1
932,6.7,22.5,1
932,6.7,22.5,1
933,6.3,22.5,1
933,6.3,22.5,1
933,6.4,22.5,1
933,6.2,22.5,1
933,6.5,22.5,1
933,6.6,22.5,1
934,6.7,22.5,1
934,6.4,22.5,1
934,6,22.5,1
934,6.7,22.5,1
934,6.3,22.5,1
936,6.1,22.5,1
934,5.9,22.5,1
934,5.7,22.5,1
934,6.2,22.5,1
936,6.2,22.5,1
