Moisture_value,Class
8,0
9,0
9,0
9,0
9,0
9,0
10,0
9,0
9,0
9,0
10,0
10,0
13,0
18,0
24,0
21,0
22,0
28,0
61,0
70,0
64,0
68,0
100,0
94,0
81,0
293,0
293,0
303,0
317,0
310,0
321,0
315,0
298,0
270,0
306,0
326,0
329,0
334,0
337,0
328,0
322,0
354,0
354,0
349,0
356,0
27,0
30,0
32,0
33,0
43,0
39,0
40,0
75,0
6,0
6,0
7,0
6,0
6,0
5,0
6,0
5,0
5,0
5,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,1
588,1
581,1
560,1
513,1
506,1
514,1
512,1
505,0
495,0
495,0
490,0
488,0
484,0
480,0
478,0
475,0
472,0
470,0
469,0
468,0
465,0
465,0
462,0
461,0
460,0
459,0
459,0
457,0
457,0
456,0
454,1
561,1
768,1
760,1
756,1
745,1
744,1
742,1
741,1
740,1
739,1
738,1
736,2
1024,2
1024,2
1024,2
1024,1
592,1
506,1
512,1
514,1
517,1
519,1
521,1
523,1
525,1
526,1
528,1
529,1
532,1
532,1
533,1
533,1
534,1
534,1
535,1
535,1
536,1
537,1
538,1
538,1
538,1
538,1
538,1
538,1
538,1
538,1
538,1
538,1
538,1
541,1
540,1
540,1
540,1
541,1
541,1
541,1
541,1
541,1
541,1
541,1
540,1
540,1
686,1
685,1
684,1
684,1
682,1
682,1
682,1
682,1
682,1
682,1
682,1
681,1
682,1
682,1
682,1
681,1
680,1
680,1
681,1
681,1
681,1
681,1
681,1
681,1
687,1
733,1
732,1
732,1
732,1
732,1
734,1
734,1
734,1
734,1
735,1
735,1
735,1
735,1
735,1
736,1
736,1
948,1
924,1
922,1
924,1
925,1
925,1
925,1
926,1
926,1
926,1
926,1
926,1
926,1
926,1
927,1
927,1
927,1
927,1
928,1
928,1
928,1
928,1
929,1
931,1
931,1
932,1
932,1
932,1
932,1
932,1
932,1
932,1
932,1
931,1
932,1
932,1
932,1
932,1
932,1
932,1
932,1
932,1
932,1
932,1
933,1
933,1
933,1
933,1
933,1
933,1
934,1
934,1
934,1
934,1
934,1
936,1
934,1
934,1
934,1
936,1
934,1
934,1
936,1
934,1
936,1
936,1
936,1
